"Average of U.S. metro areas of 1,000,000 to 2,499,999","Detroit-Warren-Livonia, MI Metro Area","Austin-Round Rock-San Marcos, TX Metro Area","Birmingham-Hoover, AL Metro Area","Buffalo-Niagara Falls, NY Metro Area","Charlotte-Gastonia-Rock Hill, NC-SC Metro Area","Cincinnati-Middletown, OH-KY-IN Metro Area","Cleveland-Elyria-Mentor, OH Metro Area","Columbus, OH Metro Area","Hartford-West Hartford-East Hartford, CT Metro Area","Indianapolis-Carmel, IN Metro Area","Jacksonville, FL Metro Area","Kansas City, MO-KS Metro Area","Las Vegas-Paradise, NV Metro Area","Louisville/Jefferson County, KY-IN Metro Area","Memphis, TN-MS-AR Metro Area","Milwaukee-Waukesha-West Allis, WI Metro Area","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","New Orleans-Metairie-Kenner, LA Metro Area","Oklahoma City, OK Metro Area","Orlando-Kissimmee-Sanford, FL Metro Area","Pittsburgh, PA Metro Area","Portland-Vancouver-Hillsboro, OR-WA Metro Area","Providence-New Bedford-Fall River, RI-MA Metro Area","Raleigh-Cary, NC Metro Area","Richmond, VA Metro Area","Rochester, NY Metro Area","Sacramento--Arden-Arcade--Roseville, CA Metro Area","Salt Lake City, UT Metro Area","San Antonio-New Braunfels, TX Metro Area","San Jose-Sunnyvale-Santa Clara, CA Metro Area","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area"
74.13329747,"1,132.9",,24.98665945,,33.5652,,,,,,,309.0928734,,,,,37.8034,,,,,26.3568,,,44.4038,,,,,,1747.790191
18.03455743,"1,238.7",,,,,,,,,,,18.9325,,,,,60.3209,,27.5984,,30.6754,,,,,,,,,,403.5095229
25.43252215,"1,668.1",,,,,,,,,,,18.5765,,,,,,228.5677,,,,,,,65.5645,,23.4111,,,2.1967,424.6591646
28.83937367,"1,922.1",,51.526,,,,,,,,,14.073,,,,,,,,,,,,,,,,,,,799.5822102
1.13760401,"1,190.1",,,,,,,,,,,15.90782029,,,,,12.4935,,,,,,,,,,,,5.7268,,
11.64807,"2,267.0",,,,,,,,,,,12.9061,,,,,48.9384,,,,,,,,,,,,,,287.5976
0,623.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.172860727,190.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.1858218
13.45339667,,,,,,,,,,,,393.9059,,,,,,9.696,,,,,,,,,,,,,
0,155.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.428873333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.8662
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,128.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15786,,,,,,,,,,,,,4.7358,,,,,,,,,,,,,,,,,,
0,44.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.565766667,,,,,,,,,,,,16.973,,,,,,,,,,,,,,,,,,,
0.02326,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6978,,,,
0.463856667,,,,,,,,,,,,13.9157,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.10966,,,,,,,,,,,,,1413.2898,,,,,,,,,,,,,,,,,,
36.96542034,,,,,,,,,,,,,1108.96261,,,,,,,,,,,,,,,,,,
123.8912933,,,,,,,,,,,,,3716.7388,,,,,,,,,,,,,,,,,,
17.30753333,,,,,,,,,,,,,519.226,,,,,,,,,,,,,,,,,,
70.73218667,,,,,,,,,,,,,2121.9656,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.62464636,,,,,,,,,,,,,1938.739391,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.992573622,,,,,,,,,,,,,,,,,,,,,,,,,,,29.77720867,,,,
0.92094545,,,,,,,,,,,,,,,,,,,,,,,,,,,27.62836351,,,,
13.21656667,,,,,,,,,,,,,,,,,,,,,,,,,,,396.497,,,,
2.016458057,,,,,,,,,,,,,,,,,,,,,,,,,,,60.49374171,,,,
45.67978027,,,,,,,,,,,,,,,,,,,,,,,,,,,1370.393408,,,,
90.80280802,,,,,,,,,,,,,,,,,,,,,,,,,,,2724.084241,,,,
54.20266167,,,,,,,,,,,,,,,,,,,,,,,,,,,1626.07985,,,,
43.47237667,,,,,,,,,,,,,,,,,,,,,,,,,,,1304.1713,,,,
26.95951992,,,,,,,,,,,,,,,,,,,,,,,,,,,808.3527977,0.4328,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.704656667,,,,,,,,,,,,,,,,,,,,,,,,,,,201.1397,,,,
42.20683667,,,,,,,,,,,,,,,,,,,,,,,,,,,1266.2051,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
